beds_count,baths_count,image_2,other_features,bulding,price,image_0,image_3,image_1,address
2 ,1,https://img.zumpercdn.com/721707492/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Air Conditioning | Balcony,"2440 Agricola Street #204, Halifax, NS B3K 4C2","$2,200",https://img.zumpercdn.com/721707490/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/721707493/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/721707491/1280x960?fit=crop&h=208&w=329,"2440 Agricola Street #204, Halifax, NS B3K 4C2"
,,https://img.zumpercdn.com/613691335/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Air Conditioning | Balcony,"2440 Agricola Street #402, Halifax, NS B3K 4C2","$1,800",https://img.zumpercdn.com/613690826/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/613691336/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/613690784/1280x960?fit=crop&h=208&w=329,"2440 Agricola Street #402, Halifax, NS B3K 4C2"
3 ,3,https://img.zumpercdn.com/327060018/1280x960?fit=crop&h=208&w=329,,,"$3,995",https://img.zumpercdn.com/327060017/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/327060019/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/327060046/1280x960?fit=crop&h=208&w=329,"12 Palmer Hill Road, Halifax, NS B3N 1S5"
,,https://img.zumpercdn.com/717265770/1280x960?fit=crop&h=208&w=329,,"5278 South Street #B3, Halifax, NS B3J 1A4","$1,500",https://img.zumpercdn.com/717265768/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/717265771/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/717265769/1280x960?fit=crop&h=208&w=329,"5278 South Street #B3, Halifax, NS B3J 1A4"
,,https://img.zumpercdn.com/717265940/1280x960?fit=crop&h=208&w=329,,"5278 South Street #A2, Halifax, NS B3J 1A4","$1,500",https://img.zumpercdn.com/717265916/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/717265946/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/717265936/1280x960?fit=crop&h=208&w=329,"5278 South Street #A2, Halifax, NS B3J 1A4"
2 ,1,https://img.zumpercdn.com/685704620/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Balcony | Dishwasher,"5571 North Street #4, Halifax, NS B3K 1N1","$2,800",https://img.zumpercdn.com/685704621/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/685704622/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/685704623/1280x960?fit=crop&h=208&w=329,"5571 North Street #4, Halifax, NS B3K 1N1"
,,https://img.zumpercdn.com/685584462/1280x960?fit=crop&h=208&w=329,,"3066 Agricola Street #2, Halifax, NS B3K 4G1","$1,695",https://img.zumpercdn.com/685584202/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/685584317/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/685584463/1280x960?fit=crop&h=208&w=329,"3066 Agricola Street #2, Halifax, NS B3K 4G1"
2 ,1,https://img.zumpercdn.com/685706009/1280x960?fit=crop&h=208&w=329,,"6121 North Street #Top, Halifax, NS B3K 1P2","$2,800",https://img.zumpercdn.com/685706006/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/685706010/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/685706007/1280x960?fit=crop&h=208&w=329,"6121 North Street #Top, Halifax, NS B3K 1P2"
5 ,2,https://img.zumpercdn.com/716096677/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Furnished | Garage Parking,"1404 Seymour Street #602, Halifax, NS B3H 3M6",$950,https://img.zumpercdn.com/716096665/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/716096678/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/716096666/1280x960?fit=crop&h=208&w=329,"1404 Seymour Street #602, Halifax, NS B3H 3M6"
,,https://img.zumpercdn.com/716075191/1280x960?fit=crop&h=208&w=329,Garage Parking | On Site Laundry | Balcony,"5252 Tobin Street #603, Halifax, NS B3H 4K2","$1,750",https://img.zumpercdn.com/716075197/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/716075192/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/716075195/1280x960?fit=crop&h=208&w=329,"5252 Tobin Street #603, Halifax, NS B3H 4K2"
3 ,2,https://img.zumpercdn.com/713778761/1280x960?fit=crop&h=208&w=329,In Unit Laundry | Garage Parking | Balcony,"76 Bedros Lane, Halifax, NS B3M 4X2","$2,800",https://img.zumpercdn.com/714253678/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/713778769/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/713778766/1280x960?fit=crop&h=208&w=329,"76 Bedros Lane, Halifax, NS B3M 4X2"
2 ,0,https://img.zumpercdn.com/712989558/1280x960?fit=crop&h=208&w=329,In Unit Laundry | On Site Laundry | Balcony,"15 Knightsridge Dr, Halifax, NS B3M 3S9","$2,400",https://img.zumpercdn.com/712989556/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/712989559/1280x960?fit=crop&h=208&w=329,https://img.zumpercdn.com/712989557/1280x960?fit=crop&h=208&w=329,"15 Knightsridge Dr, Halifax, NS B3M 3S9"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
